Symbol,Binance_Listing_Date,Common_Name
BTCUSDT,8/1/2017,Bitcoin
ETHUSDT,8/1/2017,Ethereum
BNBUSDT,11/1/2017,Binance (coin)
NEOUSDT,11/1/2017,NEO
LTCUSDT,12/1/2017,Litecoin
QTUMUSDT,3/1/2018,QTUM
ADAUSDT,4/1/2018,Cardano
XRPUSDT,5/1/2018,Ripple
IOTAUSDT,5/1/2018,IOTA
XLMUSDT,5/1/2018,Stellar
TRXUSDT,6/1/2018,Tron
ETCUSDT,6/1/2018,Ethereum Classic
VETUSDT,7/1/2018,VeChain
LINKUSDT,1/1/2019,ChainLink
BATUSDT,3/1/2019,Basic Attention Token
ZECUSDT,3/1/2019,Zcash
DASHUSDT,3/1/2019,Dash
DOGEUSDT,7/1/2019,Doge Coin
BCHUSDT,11/1/2019,Bitcoin Cash
DGBUSDT,7/1/2020,DigiByte
FILUSDT,10/1/2020,FileCoin
